F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,F13,F14,F15,Class
12.9,-1.18,-110.64,-13.35,13.34,20,-3.04,-114.01,-8.48,330.72,-2.88,285,5.25,18.72,6.48,False
17.5,0.74,-50.64,-4.56,14.54,20,0.86,-39.01,-11.12,130.72,-3.84,555,6.75,11.67,7.81,False
12.9,1.03,-80.64,-3.99,15.39,20,-9.36,5.99,-16.3,20.72,-5.85,375,6.9,14.49,8.9,True
0.2,-3.92,-41.64,-18.03,8.74,2,1.26,-81.01,-12.42,76.72,0.03,51,0.54,28.5,,False
17.8,-2.01,-50.64,-4.74,15.14,20,-2.24,-4.01,-7.9,340.72,-5.12,45,6.6,15.24,,False
19.6,-1.34,-95.64,-8.4,13.24,20,-6.72,-74.01,-8.14,420.72,1.73,645,9.7,16.53,,False
0.7,-4.94,-47.64,-25.86,8.34,2,1.58,-86.01,-11.52,76.72,-0.36,129,0.94,32.1,,False
2.6,-4.85,-41.64,-18.66,8.2,2,6.06,-80.01,-9.8,6.72,0.27,114,0.62,28.62,7.29,False
20.8,0.54,-50.64,-10.89,15.89,20,1.1,0.99,-9.74,420.72,-5.28,75,6.55,20.82,,True
0.44,-4.2,-47.64,-18.03,8.61,2,4.4,-86.01,-9.92,26.72,0,39,0.57,27.21,,True
1.62,-4.96,-41.64,-18.81,8.76,2,9.48,-52.01,-11.54,36.72,-0.56,102,0.78,32.19,,True
0.78,-4.47,-41.64,-22.44,8.61,2,1.5,-49.01,-10.4,42.72,-0.34,33,0.67,25.44,8.89,True
1.26,-4.53,-47.64,-21.66,8.12,2,2.2,-82.01,-10.12,52.72,-0.11,21,1.07,28.65,6.97,True
1.92,-5.63,-47.64,-18.24,8.1,0,2.2,-88.01,-10.92,10.72,0.06,21,0.78,32.49,8.67,True
1.92,-4.12,-41.64,-19.68,8.73,2,1.28,-51.01,-10.14,58.72,0.31,15,0.23,45.63,,False
13.6,-0,-80.64,-5.7,16.49,20,-9.32,-59.01,-10.76,80.72,-5.6,750,8.2,9.63,,True
12.5,-1.86,-80.64,-13.26,15.49,20,-5.76,-49.01,-11.28,450.72,-4.53,1080,5.45,21.24,,False
2.96,-8.41,-35.64,-18.45,8.55,2,2.2,-67.01,-11.5,4.72,-0.43,42,0.66,26.76,8.1,True
3.88,-3.81,-47.64,-22.08,8.75,2,2.5,-79.01,-11.76,72.72,0.7,171,0.03,32.55,7.74,False
1.58,-5.17,-41.64,-19.05,8.73,2,2.76,-56.01,-12.2,68.72,1.31,18,0.46,29.49,8.2,False
1.38,-4.29,-47.64,-20.97,7.92,2,2.92,-80.01,-10.6,68.72,0.43,6,0.91,26.31,7.81,False
22.4,-0.85,-80.64,-12.12,13.39,20,-3.14,-109.01,-8.88,340.72,-4.27,885,6.9,15.36,7.5,False
17.8,-1.59,-80.64,-14.19,14.44,20,-4.08,-124.01,-8.72,50.72,-2.63,330,5.25,13.11,,False
3.9,-4.91,-47.64,-20.7,8.42,2,2.66,-84.01,-12.44,8.72,-0.33,45,0.06,32.79,8.64,True
2.98,-6.32,-47.64,-22.89,8.69,2,1.36,-71.01,-9.6,74.72,-0.45,45,0.23,25.59,9.02,True
18,-1.9,-80.64,-8.52,13.64,20,-0.6,-94.01,-10.4,-9.28,-4.6,840,5.75,12.96,6.79,False
19.5,1.26,-50.64,-4.32,16.84,20,-9.32,10.99,-11.14,80.72,-6.19,540,7.05,9.51,7.15,True
26.9,0.49,-50.64,-4.5,13.59,20,-6.7,5.99,-8.08,140.72,-3.98,300,8.3,12.51,7.74,True
2.36,-5.08,-35.64,-22.2,8.77,2,3.14,-66.01,-13.26,64.72,1.8,66,0.32,28.92,,False
13.8,0.4,-110.64,-7.59,14.34,20,-6.88,-79.01,-8,160.72,-3.67,615,7.45,19.59,,True
13,-1.93,-80.64,-7.74,14.64,20,-5.9,-94.01,-9.44,260.72,-4.22,825,5.3,13.71,,False
11,1.05,-110.64,-8.01,14.89,20,1.02,-149.01,-9.08,160.72,-3.27,690,8.9,11.58,9.11,True
13.4,0.09,-80.64,-9.81,14.64,20,-4.22,-154.01,-7.18,350.72,-4.94,330,6.4,14.19,,False
2.5,-3.84,-35.64,-20.58,8.52,0,0.74,-51.01,-14.26,22.72,-0.19,78,0.75,25.35,7.82,True
27.3,-0.57,-80.64,-6.45,14.44,20,-3.84,20.99,-9,370.72,-4.76,300,6.6,14.67,7.12,False
4.06,-6.45,-44.64,-20.79,8.26,2,1.88,-69.01,-9.98,44.72,0.27,138,0.47,27.12,,False
1.24,-4.23,-41.64,-19.77,8.8,2,3.26,-74.01,-12.3,76.72,-0.17,48,0.6,30.48,8.59,False
3.08,-7.29,-35.64,-23.19,8.22,2,1.18,-68.01,-17.62,4.72,0.11,75,0.67,29.07,,False
2.12,-4.76,-47.64,-18.12,8.71,2,0.98,-87.01,-10.54,66.72,-0.76,6,0.2,25.89,7.92,True
1.6,-5.05,-47.64,-20.7,8.41,2,8.38,-75.01,-10.08,8.72,0.25,99,0.34,27.57,6.72,False
3.68,-3.87,-41.64,-20.07,8.64,2,3.3,-67.01,-12.86,20.72,-0.66,141,0.12,26.16,8.26,False
11.5,0.17,-50.64,-6.57,14.29,20,-7.76,-59.01,-10.78,220.72,-5.12,150,7,13.32,,False
12.2,0.42,-80.64,-2.7,17.29,20,-3.7,-59.01,-10.8,10.72,-4.65,915,6.25,11.49,,True
3.32,-5.83,-41.64,-18.84,8.81,2,1.02,-85.01,-10.14,34.72,0.06,42,0.95,25.95,9.16,True
12.5,1.17,-80.64,-5.7,14.94,20,-4.94,-134.01,-10.36,80.72,-5.37,855,6.6,11.52,,True
1.86,-4.15,-35.64,-32.43,8.7,2,0.4,-66.01,-10.94,8.72,-0.97,18,0.73,25.89,8.89,True
3,-4.29,-41.64,-34.83,8.21,2,6.98,-60.01,-13.88,20.72,-0.75,54,0.64,26.58,,False
1.68,-4.25,-47.64,-24.12,8.79,2,1.32,-72.01,-11.54,36.72,2.74,132,0.51,25.62,9.27,True
3.76,-4.73,-47.64,-19.35,7.96,2,1.6,-70.01,-15.56,34.72,-0.11,138,0.91,27.99,6.98,False
21.6,-2.25,-80.64,-8.7,14.54,20,-6.52,-54.01,-10.8,380.72,-4.06,360,6.1,17.73,7.39,False
20.4,-1.28,-80.64,-9.33,13.04,20,-4.32,-9.01,-10.8,370.72,-2.56,930,7.05,18.15,6.74,False
2.44,-3.85,-47.64,-18.36,8.35,2,0.82,-85.01,-13.7,-3.28,-0.07,216,0.82,25.17,7.53,True
1.62,-5.55,-47.64,-22.08,8.43,2,6.1,-82.01,-10,74.72,1.44,39,0.79,25.95,,True
11,0.64,-80.64,-7.26,16.64,20,-7.62,-34.01,-7.72,410.72,-4.87,45,5.95,11.52,,True
20.6,1.17,-80.64,-5.43,14.54,20,-9.18,10.99,-10.44,190.72,-4.46,435,9.55,13.23,8.31,True
0.84,-5.48,-41.64,-23.25,8.58,2,7.08,-68.01,-13.8,72.72,2.54,30,0.64,30.57,,False
16.2,-1.12,-110.64,-7.11,14.74,20,-3.92,-99.01,-9.72,240.72,-0.96,75,5.45,13.62,,False
13.1,1.49,-65.64,-4.11,16.89,20,-8.32,-74.01,-13.08,310.72,-6.02,945,6.75,11.04,,False
12.1,-3.65,-110.64,-7.98,13.44,20,-4.8,-124.01,-13.14,350.72,-4.19,30,7.25,15.48,6.36,False
0.62,-4.01,-47.64,-18.72,8.52,2,1.68,-81.01,-9.52,68.72,-0.19,21,0.08,26.16,,False
2.14,-5.61,-41.64,-24.63,8.58,2,6.94,-75.01,-11.54,76.72,0.07,162,0.65,30.06,6.87,False
21.2,-1.96,-80.64,-19.56,13.24,20,-5.64,-144.01,-8,190.72,-4.33,555,8.75,13.53,7.55,False
3.36,-4.05,-41.64,-18.39,8.52,2,2.82,-86.01,-10.3,40.72,1.23,183,0.54,30.03,,False
14.2,-0.74,-80.64,-7.47,14.09,20,-5.98,-69.01,-7.46,430.72,-4.76,30,8.75,17.64,,False
11.8,1.54,-80.64,-2.55,16.44,20,-9.52,15.99,-12.06,280.72,-6.02,1095,7.65,17.22,6.85,False
3.3,-3.72,-47.64,-18.54,8.85,2,4.58,-79.01,-9.24,68.72,0.06,33,0.89,24.81,7.42,True
0.92,-4.05,-47.64,-21.87,8.45,2,0.84,-72.01,-10.72,12.72,-0.73,129,0.59,28.86,,False
20,0.73,-50.64,-12.45,15.49,20,-5.7,5.99,-12.18,260.72,-5.07,885,5.3,12.72,,False
15.2,0.39,-80.64,-8.01,14.14,20,-7.7,-34.01,-10.32,280.72,-5.26,810,9.7,15.81,7.27,False
2.04,-3.69,-41.64,-19.14,8.64,2,2.64,-76.01,-11.3,40.72,-0.12,102,0.38,26.61,,False
24.3,0.04,-80.64,-18.51,14.94,20,-6.64,5.99,-13.96,220.72,-4.21,495,6.15,14.43,7.83,True
1.68,-4.41,-41.64,-21.3,8.83,2,4.96,-65.01,-10.1,74.72,2.77,3,0.35,26.49,7.9,False
3.3,-5.73,-47.64,-20.58,8.76,2,8.68,-70.01,-10.38,32.72,0.12,234,0.43,27.57,,True
2.18,-5.86,-44.64,-19.08,8.01,2,5.84,-69.01,-15.8,24.72,0.42,33,0.9,28.5,7.2,False
1.18,-3.87,-41.64,-19.98,8.6,2,1.64,-74.01,-11.84,50.72,-0.8,39,0.46,33.72,7.63,False
1.08,-3.6,-35.64,-18.45,8.46,2,0.5,-51.01,-11.98,4.72,-0.02,27,0.85,26.49,,True
2.74,-4.17,-41.64,-18.9,8.33,2,2.48,-85.01,-9.72,72.72,-0.56,48,0.95,31.41,8.47,True
27.2,-1.47,-80.64,-6.42,14.09,20,-6.52,-4.01,-7.46,220.72,-4.94,300,6.3,21.09,6.55,False
1.64,-6.87,-47.64,-21,8.07,2,3.96,-91.01,-9.36,-7.28,-0.69,30,0.47,28.77,,True
1.42,-7.9,-35.64,-22.68,8.56,2,3,-56.01,-10.44,22.72,-0.62,63,0.87,25.59,9.3,True
3.18,-4.36,-47.64,-18.21,8.25,2,5.42,-84.01,-8.94,18.72,-0.1,21,0.89,33.42,,True
19.6,-6.13,-80.64,-8.37,13.09,20,-6.34,-124.01,-8.9,30.72,-4.71,90,6.85,16.89,,False
3.28,-9.67,-47.64,-20.34,8.29,2,2.16,-78.01,-9.14,28.72,-0.78,30,0.64,25.62,,True
1.62,-4.05,-47.64,-19.98,8.23,2,3.52,-70.01,-10.46,72.72,-0.37,87,0.78,27.93,8.36,False
2.02,-4.31,-35.64,-22.98,8.31,2,4.74,-62.01,-13.52,40.72,-0.43,45,0.91,30.21,,False
28.1,-2.89,-80.64,-17.79,13.09,20,-1.82,5.99,-11.64,300.72,-3.19,1020,5.05,19.68,4.96,False
11.9,-2.52,-80.64,-14.25,13.19,20,-2.3,-84.01,-10.46,450.72,-1.64,990,5.25,25.02,5.68,False
1.12,-5.15,-35.64,-21.06,8.57,2,3.2,-67.01,-11.18,6.72,-0.21,9,0.52,25.32,8.56,True
18.6,0.37,-110.64,-4.95,15.74,20,-7.6,-169.01,-7.26,410.72,-4.86,720,6.2,13.26,6.51,False
2.98,-4.75,-41.64,-18.9,8.57,2,1.22,-61.01,-10.68,42.72,-1.03,195,0.93,26.28,8.9,True
19.7,-0.13,-80.64,-9.66,13.99,20,-5.68,-34.01,-6.92,360.72,-2.65,150,8.6,14.28,,True
27,-0.45,-80.64,-8.61,13.99,20,-5.24,-149.01,-6.7,430.72,-3.61,540,7.2,18.63,5.81,False
17.1,0.44,-80.64,-1.59,16.54,20,-4.62,-64.01,-14.04,190.72,-6.4,1050,9,9.57,8.57,True
14.8,-1.4,-110.64,-9.93,14.49,20,5.4,-149.01,-11.78,380.72,-4.38,270,6.7,15.48,7.61,False
14.3,-0.04,-80.64,-8.34,13.14,20,-5.92,-54.01,-11.92,370.72,-4.26,1110,9.1,17.64,,False
13.2,1.42,-50.64,-2.94,17.04,20,-9.48,-44.01,-10.88,240.72,-5.44,600,7.15,10.38,,True
16.4,-3.4,-50.64,-5.94,13.89,20,-8.66,0.99,-9.56,270.72,-5.09,45,9.75,23.55,,True
3.12,-6.67,-41.64,-20.34,8.7,2,1.12,-76.01,-10.7,16.72,0.65,168,0.15,28.95,7.42,False
24.2,0.93,-50.64,-3.27,14.74,20,-6.38,20.99,-11.7,310.72,-4.74,450,9.75,22.17,8.55,True
14.7,0.23,-80.64,-2.97,16.69,20,-5.76,-44.01,-11.62,270.72,-3.08,885,7.9,17.34,8.2,True
2.76,-3.65,-35.64,-19.74,8.51,2,7.84,-52.01,-10.64,66.72,0.37,45,0.86,30.84,,True
3.58,-4.29,-47.64,-16.95,8.85,2,0.46,-76.01,-14,2.72,1.24,81,0.98,42.96,,True
4.14,-4.61,-47.64,-19.68,7.96,2,5.84,-79.01,-9.88,34.72,0.36,114,0.86,39.48,7.68,False
3.78,-4.71,-47.64,-26.1,8.07,2,1.68,-73.01,-9.02,72.72,-0.34,3,0.43,27.81,,True
1.88,-3.48,-47.64,-18.03,8.83,2,0.74,-79.01,-11.4,46.72,-1.04,126,0.76,26.22,8.28,True
3.22,-9.74,-41.64,-18.9,8.67,2,6.72,-72.01,-15.14,6.72,-0.11,39,0.59,28.77,7.89,True
1.56,-4.86,-41.64,-22.44,8.64,2,1.74,-74.01,-11.12,2.72,0.84,21,0.09,25.41,7.06,False
16.4,-1.89,-50.64,-8.28,13.69,20,-5.76,10.99,-11.44,170.72,-2.43,1050,5.55,18.09,6.13,False
3.28,-4.67,-41.64,-19.5,8.56,2,0.98,-64.01,-10.12,34.72,1.12,15,0.12,25.83,,False
27,-2.17,-80.64,-10.38,13.84,20,-4.16,-114.01,-9.78,400.72,-0.03,420,6.1,19.68,6.45,False
1.62,-3.99,-47.64,-20.13,8.44,2,1.82,-80.01,-11.18,68.72,0.41,39,0.02,31.35,6.76,False
14.5,-1.47,-50.64,-13.98,13.34,20,-4.66,-29.01,-10.44,400.72,-3.55,540,6.2,21.84,6.03,False
0.86,-5.04,-47.64,-19.41,8.8,2,1.66,-76.01,-11.38,6.72,0.13,21,0.48,27.03,,True
2.56,-4.1,-35.64,-18.21,8.45,2,1.6,-64.01,-14.68,24.72,1.93,57,0.79,26.52,,True
0.08,-3.92,-41.64,-18.21,8.66,2,2.2,-80.01,-11.46,8.72,-0.8,15,0.35,30.78,7.16,True
12.5,0.71,-80.64,-6.78,14.99,20,-8.02,-49.01,-11.16,100.72,-4.58,945,9.45,9.78,8.21,True
2,-4.69,-47.64,-17.76,8.72,2,4.34,-72.01,-11.38,30.72,3.23,48,0.55,27.75,7.14,True
3.84,-3.84,-47.64,-21.12,8.45,2,1.7,-72.01,-10.78,90.72,-0.76,159,0.5,28.05,,False
0.72,-5.69,-41.64,-19.35,8.64,2,2.6,-81.01,-12.3,30.72,-0.86,3,0.3,25.35,,False
1.68,-4.84,-41.64,-30.99,8.57,2,3.28,-55.01,-13.6,2.72,-0.88,156,0.91,26.55,,True
1.08,-4.32,-47.64,-17.73,8.35,2,2.08,-72.01,-12.54,-1.28,-1.02,90,0.91,29.07,,True
24.8,0.41,-50.64,-9.87,13.84,20,-7.1,-24.01,-11.02,260.72,-5.12,975,9.05,11.67,,False
19.8,-1.41,-50.64,-12.3,13.44,20,-4.36,0.99,-12.6,210.72,-2.82,795,5.45,15.72,,False
13,-0.16,-110.64,-3.69,15.34,20,-3.7,-144.01,-9.52,370.72,-5.4,1140,9.85,14.37,8.81,True
13.9,-1.93,-80.64,-11.37,12.74,20,-3.36,-19.01,-8.84,250.72,-3.88,255,6.7,25.86,7.14,False
13.8,1.41,-50.64,-4.47,15.49,20,-6.6,5.99,-11.7,70.72,-3.96,645,8,12.42,7.72,False
3.24,-4.12,-47.64,-19.56,8.71,2,1.36,-87.01,-10.38,64.72,0.01,21,0.81,28.8,,True
3.04,-3.93,-41.64,-20.37,8.75,2,2.24,-61.01,-10.2,76.72,0.77,45,0.78,30.6,,True
27.4,-1.23,-50.64,-7.17,14.09,20,2.04,-59.01,-11.16,360.72,-4.24,720,7.2,20.16,7.4,False
18.6,1.2,-80.64,-7.62,15.54,20,-4.92,-14.01,-9.22,120.72,-4.86,150,6.05,11.7,,True
29.1,-1.11,-110.64,-16.95,14.64,20,-3.16,-129.01,-9.68,410.72,-3.96,1065,5.2,18.15,,False
2.28,-4.25,-47.64,-19.95,8.11,2,1.94,-82.01,-9.66,12.72,1.6,39,0.08,26.25,,False
1.52,-4.49,-41.64,-18.96,8.37,2,0.94,-83.01,-15.18,80.72,1.22,36,0.88,26.43,,False
1.46,-5.44,-41.64,-20.7,8.51,2,2.96,-86.01,-12.3,56.72,2.02,81,0.51,35.1,6.94,False
19.3,-1.47,-110.64,-14.58,12.99,20,-5.8,-134.01,-8.76,280.72,-3.93,180,6.9,19.47,6.17,False
0.34,-5.93,-47.64,-24.84,8.34,2,2.28,-81.01,-10.78,6.72,1.8,24,0.54,30.51,,False
3.54,-3.72,-35.64,-19.98,8.3,2,3.34,-51.01,-10.68,26.72,-0.09,42,0.74,35.31,,False
15.2,-0.51,-80.64,-8.61,17.94,20,-4.4,-109.01,-11.2,180.72,-2.8,1125,5.6,12.18,8.18,True
1.84,-3.88,-47.64,-36.81,8.28,2,2.78,-82.01,-10.4,20.72,0.31,84,0.67,31.59,,False
27.5,-0.01,-50.64,-5.19,14.09,20,-6.2,10.99,-13.12,240.72,-5.57,690,8.7,14.55,,False
13.7,1.28,-65.64,-3.54,16.44,20,-7.94,-74.01,-12.7,80.72,-5.35,945,5.15,10.29,7.98,False
26.5,-0.19,-50.64,-5.61,15.09,20,-6.02,-24.01,-11.94,290.72,-4.23,240,6.6,14.01,8.57,True
13,0.6,-80.64,-8.82,15.24,20,-5.7,-34.01,-12.48,340.72,-4.14,150,6.4,13.74,6.9,True
11.7,0.58,-80.64,-5.64,15.14,20,-1.38,10.99,-17.8,370.72,-4.57,735,7,12.78,5.46,False
2.34,-4.18,-41.64,-22.5,8.77,2,2.24,-74.01,-13.12,32.72,-0.73,231,0.82,30.84,8.13,True
21.9,0.58,-80.64,-8.37,17.24,20,-9.36,20.99,-9.28,250.72,-3.94,555,5.05,10.89,,True
2.92,-4.64,-41.64,-19.17,8.43,2,1.98,-49.01,-12.96,66.72,2.34,114,0.79,45.06,9.53,True
2.8,-4.59,-41.64,-18.87,8.06,2,1.82,-88.01,-11.5,36.72,0.24,33,0.28,33.06,,False
0.12,-8.07,-35.64,-18.99,8.65,0,0.94,-59.01,-10.44,18.72,-0.62,6,0.22,25.62,,True
1.08,-4.4,-41.64,-21.36,7.95,0,2.24,-88.01,-10.2,28.72,-0.7,60,0.62,25.62,6.52,False
2.94,-3.88,-41.64,-17.52,8.67,2,3.14,-79.01,-12.1,4.72,1.14,165,0.54,26.1,,True
0.44,-4.57,-41.64,-21.96,8.44,2,1.06,-53.01,-12.24,32.72,-0.94,15,0.79,26.13,,True
15.4,-2.21,-80.64,-9.06,15.34,20,-5.36,-104.01,-16.26,440.72,-4.31,1080,6.95,12.69,7.26,False
10.4,1.17,-50.64,-6.03,13.79,20,-5.26,-59.01,-11.36,170.72,-5.87,390,9.9,12.24,8.33,True
2,-5.74,-41.64,-25.98,8.55,2,1.24,-72.01,-12.56,-7.28,1.44,27,0.18,25.74,,False
2.64,-4.65,-41.64,-18.27,8.68,2,4.04,-82.01,-11.76,56.72,1.38,39,0.79,27.12,9.08,True
19.6,1.61,-50.64,-9.54,17.69,20,-9.16,-4.01,-13.34,10.72,-5.87,900,6.7,11.49,,True
3.14,-3.88,-41.64,-23.1,7.97,2,2.44,-83.01,-10.12,-1.28,0.25,93,0.43,30.33,6.66,False
3.64,-3.9,-41.64,-18.21,8.47,2,1.6,-72.01,-10.68,38.72,-0.42,48,0.58,28.65,,True
0.22,-6.05,-41.64,-18.9,8.21,2,1.46,-85.01,-14.1,-3.28,1.36,39,0.6,29.37,7.46,False
3.76,-7.69,-47.64,-20.37,8.62,2,1.88,-71.01,-11,46.72,-0.78,3,0.11,27.3,8.23,True
2.18,-4.81,-41.64,-18.75,8.42,2,1.9,-60.01,-13.32,38.72,0.57,9,0.51,28.2,,False
17.2,0.66,-50.64,-6.48,15.94,20,-8.42,-34.01,-11.26,310.72,-0.57,1005,7.3,12.84,,False
28.4,-4.02,-50.64,-10.74,12.84,20,-4.04,25.99,-12.74,430.72,-3.83,1020,8.85,16.74,6.88,False
3.5,-4.7,-41.64,-18.69,8.46,2,7.92,-81.01,-13.58,2.72,-0.09,39,0.88,41.46,,True
24.8,0.81,-80.64,-3.09,14.19,20,-7.64,20.99,-12.68,120.72,-4.87,1005,9,11.31,,False
2.4,-6.2,-41.64,-31.08,8.27,2,5.74,-58.01,-14.36,70.72,0.44,18,0.68,27.66,7.49,False
3.1,-3.69,-41.64,-19.02,8.51,2,0.88,-75.01,-10.18,10.72,-0.61,3,0.69,25.35,,True
2.82,-3.9,-41.64,-20.64,8.51,2,3.16,-78.01,-11.88,42.72,-0.09,195,0.56,27.33,,False
20.2,-0.46,-80.64,-7.38,14.99,20,-5.28,25.99,-7.76,300.72,-4.63,60,5.6,16.83,,False
3.1,-5.24,-41.64,-19.62,8.16,2,1.84,-84.01,-10.56,48.72,0.19,51,0.74,32.16,8.33,False
12,0.4,-50.64,-4.53,17.49,20,-9.68,-9.01,-14.54,60.72,-5.58,990,7,9.45,,False
12.2,-1.27,-50.64,-10.2,13.59,20,-4.68,10.99,-11.52,120.72,-1.62,180,8.35,12.39,7.66,False
2.14,-3.98,-35.64,-20.64,8.74,2,1.14,-61.01,-11.42,36.72,-0.84,39,0.17,30.48,,False
0.58,-3.72,-41.64,-18.12,8.79,0,2.5,-76.01,-11.3,38.72,-0.97,63,0.26,26.49,7.79,True
2.46,-5.18,-35.64,-29.16,8.66,2,1.26,-60.01,-10.86,40.72,0.36,27,0.07,25.74,7.17,False
3.82,-4.21,-41.64,-20.76,8.25,2,1.2,-75.01,-10.58,20.72,0.38,54,0.76,35.28,,True
1.18,-3.84,-41.64,-17.79,8.71,2,2.7,-85.01,-10.72,6.72,0.78,99,0.15,28.47,,False
10.1,0.6,-80.64,-12.75,13.69,20,-6.74,-9.01,-10.42,290.72,-4.17,360,9.3,13.89,,False
3.82,-6.41,-41.64,-22.02,8.48,2,3.5,-77.01,-12.24,80.72,1.36,177,0.34,34.26,,False
1.1,-3.88,-47.64,-18.54,8.62,2,1.38,-73.01,-10.92,58.72,0.65,30,0.21,28.59,,False
3.04,-4.01,-41.64,-18.18,8.58,0,2.12,-83.01,-12.92,14.72,1.8,156,0.16,25.71,,True
12.8,0.42,-80.64,-11.31,14.59,20,-7.42,-144.01,-10.16,60.72,-3.05,75,5.15,12.54,5.85,False
11.7,-0.61,-80.64,-4.53,16.44,20,-8.06,-14.01,-8.28,310.72,-5.62,180,5.75,14.79,9.66,True
18,-0.92,-80.64,-6.09,14.59,20,-5.2,-104.01,-7.56,310.72,-3.67,225,7.35,18.99,,False
14.1,0.73,-80.64,-5.85,16.59,20,-7.9,-64.01,-8.38,200.72,-5.47,195,5.1,13.26,8.75,True
15.1,0.5,-80.64,-5.76,13.89,20,-0.82,-114.01,-8.72,240.72,-1.85,210,7.8,15,7.13,False
3.3,-5.75,-41.64,-22.89,8.78,2,0.76,-87.01,-9.68,66.72,0,75,0.54,32.31,,True
13.9,0.91,-50.64,-3.21,16.84,20,-8.48,-64.01,-10.68,170.72,-4.32,585,8.35,16.68,,True
10.5,0.09,-80.64,-12.3,15.09,20,-6.48,-144.01,-7.3,420.72,-4.14,270,5.9,20.43,6.59,False
0.24,-7.37,-38.64,-26.82,8.78,2,4.52,-69.01,-14.04,22.72,-0.15,27,0.48,27.33,,True
3.24,-3.73,-47.64,-19.14,8.72,2,8.66,-78.01,-10.42,54.72,0.34,147,0.24,26.22,,False
1.2,-3.76,-41.64,-23.31,8.8,2,2.2,-80.01,-10.22,20.72,0.88,21,0.6,26.94,8.19,True
20.5,-0.47,-80.64,-7.65,13.14,20,-6.12,-169.01,-7.56,440.72,-4.39,450,8.85,14.64,,False
27.1,-0.75,-80.64,-11.91,13.14,20,-3.76,-124.01,-8.32,190.72,-2.18,975,5.15,19.86,5.36,False
13.7,0.94,-50.64,-8.19,13.84,20,-7.94,10.99,-12.14,190.72,-5.08,1035,9.45,10.89,,False
13.6,0.57,-80.64,-6.09,13.34,20,-5.06,-39.01,-10.62,360.72,-4.29,900,10.05,14.61,,False
12.2,0.29,-65.64,-3.9,15.04,20,-2.36,-129.01,-7.02,300.72,-5.37,15,7.95,11.13,8.39,True
17.6,0.01,-80.64,-4.56,13.34,20,-7.02,-129.01,-10.56,90.72,-5.31,870,8.35,17.4,9.13,True
31.4,-0,-80.64,-6.12,16.94,20,-5.92,-9.01,-8.5,410.72,-4.27,870,5.05,11.76,8.83,True
3.82,-4.6,-41.64,-19.32,8.17,2,2.16,-64.01,-9.74,-7.28,1.62,6,0.4,26.28,,False
27.2,-0.53,-80.64,-7.68,13.04,20,2.78,-149.01,-7.72,290.72,-4.07,900,8.8,21.48,6.97,False
15.3,0.56,-80.64,-6.57,13.74,20,-1.72,-14.01,-9.42,220.72,-3.56,285,8.4,16.56,7.65,True
1.32,-3.47,-47.64,-18.42,8.67,0,2.06,-75.01,-11.08,50.72,0.92,150,0.9,38.46,,True
17.1,0.87,-50.64,-2.52,14.54,20,-5.38,-9.01,-13.26,90.72,-6.01,795,8.95,13.56,6.97,False
2.28,-3.99,-41.64,-19.53,8.73,2,0.4,-76.01,-11.3,6.72,-0.84,174,0.99,28.44,,True
20.5,-0.33,-65.64,-10.08,13.49,20,-5.18,-74.01,-7.36,230.72,-4.33,240,6.8,15.9,7.24,False
3.92,-4.32,-47.64,-20.52,8.33,2,1.22,-83.01,-15.8,34.72,1.75,45,0.42,30.93,8.63,True
19.7,-4.37,-80.64,-8.88,14.74,20,-4.92,-69.01,-14.26,110.72,-4.65,780,5.5,16.08,,False
27.5,-0.47,-80.64,-15.75,13.59,20,-6.06,-114.01,-8.86,160.72,-4.27,750,5.55,16.41,7.8,False
19,-1.18,-80.64,-6.39,13.49,20,-2.4,-59.01,-10.22,240.72,-1.52,1020,7.25,15.51,,False
15.3,-1.58,-80.64,-7.83,13.64,20,-4.68,-84.01,-18.58,20.72,-4.28,975,6.9,12.39,,False
13.3,-0.06,-80.64,-9.36,13.34,20,-7.38,-94.01,-6.9,230.72,-4.06,60,8,15.39,7.21,False
19.5,-0,-80.64,-6.84,12.99,20,-6.64,-4.01,-16.24,450.72,-4.5,165,9.4,15.84,,False
11.1,-0.33,-80.64,-12.54,13.59,20,-5.34,-44.01,-10.38,440.72,-3.26,240,7.95,15.75,,False
0.38,-5.56,-47.64,-19.29,8.58,2,3.22,-74.01,-13.28,4.72,-0.81,192,0.8,26.16,,True
14.2,0.71,-80.64,-3,15.04,20,-8.58,20.99,-10.22,240.72,-4.5,300,8.5,10.59,,True
10.7,-0.74,-80.64,-6.78,12.74,20,-6.06,-139.01,-7.76,380.72,-2.41,135,9.3,14.37,7.49,False
0.92,-4.95,-47.64,-22.08,8.28,2,1.42,-88.01,-16.38,74.72,-0.64,54,0.79,27.48,8.14,False
19,0.42,-50.64,-7.38,14.99,20,-2,0.99,-10.36,280.72,-5.75,570,8.9,11.4,7.84,False
23.1,0.48,-50.64,-6.84,16.14,20,-8.9,-49.01,-10.56,340.72,-5.74,870,7.9,28.35,,True
11.8,-2.58,-50.64,-4.65,14.89,20,-7.94,-29.01,-10.68,410.72,-4.61,240,8,16.44,,False
2.62,-3.6,-47.64,-24.9,8.6,2,2.94,-76.01,-10.9,36.72,-0.63,123,0.93,30.36,,True
0.94,-6.08,-41.64,-27.42,8.47,2,1.76,-81.01,-10.64,16.72,3.19,9,0.9,27.78,,True
